ID,Powiat,Województwo,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
1395,sokolowski,mazowieckie,113117,1131,54604,48,203,191,10,2,0,705,91,607,7,0,0,97,1,19,77,195,300,261,106,44,0,2,10,145,0,1,0,0,4,6,0,0,0,0,0,0,6,138,0,16,158,6,6,22,6,25,0,4,5,103,0,0,21,68
1836,sokolski,podlaskie,205450,2055,68188,33,318,287,28,3,0,443,61,370,12,0,0,21,4,15,2,130,284,243,75,26,1,2,22,101,0,2,0,0,10,10,0,1,0,1,0,0,12,88,0,8,88,6,1,16,5,0,0,9,17,113,3,0,7,37
1980,Sopot,pomorskie,1728,17,36533,2114,94,94,0,0,0,431,187,236,8,0,0,118,0,37,81,168,162,70,58,64,3,0,4,57,0,0,0,0,0,3,0,0,0,0,0,0,4,54,0,6,19,0,5,4,12,3,0,1,3,43,2,0,5,38
2167,Sosnowiec,śląskie,9106,91,204013,2240,815,797,18,0,0,1310,241,1051,17,1,0,450,11,317,122,446,1005,476,137,54,5,2,8,298,0,3,0,3,3,29,0,2,0,1,0,1,5,265,0,28,163,3,0,30,94,1,0,23,16,352,3,0,3,161
130,sredzki (dolnoslaskie),dolnośląskie,70414,704,53722,76,484,459,23,1,1,449,104,323,22,0,0,60,0,53,7,124,333,345,100,30,1,0,16,229,0,1,0,1,2,3,0,0,0,1,0,1,14,224,0,23,27,0,3,5,13,3,0,7,1,193,1,0,4,126
2693,sredzki (wielkopolskie),wielkopolskie,62386,624,58155,93,207,193,13,1,0,630,39,564,26,1,0,55,1,32,22,176,325,218,87,30,1,0,11,140,0,0,0,0,0,2,0,0,0,2,0,0,11,136,0,7,36,1,0,15,4,0,0,4,6,121,5,0,1,82
2699,sremski,wielkopolskie,57410,574,61229,107,193,181,9,2,1,691,35,639,17,0,0,38,0,24,14,174,364,257,64,20,0,5,6,110,0,2,0,0,2,2,0,0,0,1,0,1,4,105,0,7,38,0,0,32,6,0,0,4,6,97,0,0,5,66
1720,stalowowolski,podkarpackie,83174,832,107138,129,371,348,21,2,0,802,109,684,9,0,0,30,1,26,3,210,457,357,103,45,1,0,18,172,0,0,0,0,3,8,0,0,0,1,0,1,15,163,1,22,81,6,0,58,29,0,0,15,15,165,1,0,12,54
2319,starachowicki,świętokrzyskie,52341,523,90888,174,317,304,12,1,0,629,83,533,13,0,0,34,2,30,2,148,394,293,102,8,0,1,15,176,0,3,0,3,1,10,0,1,0,0,0,0,14,163,0,12,32,3,1,105,16,1,0,6,10,115,2,0,6,51
2842,stargardzki,zachodniopomorskie,151994,1520,120091,79,814,785,25,3,1,599,103,493,3,0,0,87,3,60,24,383,539,371,96,22,2,0,12,158,0,0,0,0,1,5,0,0,0,0,0,0,11,153,0,19,109,16,7,27,7,0,0,1,4,153,3,0,19,52
1982,starogardzki,pomorskie,134534,1345,127868,95,495,469,24,1,1,1175,160,984,31,0,0,40,4,27,9,328,647,468,185,37,1,4,33,274,0,5,0,1,0,5,0,1,0,1,0,0,33,263,1,12,98,13,2,79,22,2,0,6,6,247,1,0,20,175
2325,staszowski,świętokrzyskie,92480,925,72456,78,317,299,16,2,0,494,34,450,10,0,0,12,1,10,1,82,305,312,81,28,2,1,16,79,0,0,0,0,2,2,0,0,0,1,0,0,14,76,0,5,82,0,0,9,2,2,0,8,3,81,2,1,10,48
1546,strzelecki,opolskie,74427,744,74871,101,255,245,9,1,0,534,37,490,7,0,0,58,1,52,5,153,320,231,70,15,0,0,7,166,0,0,0,0,0,12,0,3,0,1,0,0,7,153,0,17,68,0,2,41,26,6,0,4,4,124,0,0,2,74
649,strzelecko-drezdenecki,lubuskie,124786,1248,49701,40,432,415,15,2,0,438,32,405,1,0,0,51,4,45,2,154,271,290,122,32,1,0,8,53,0,4,0,2,0,3,0,0,0,0,0,0,8,46,0,8,118,5,11,19,3,1,0,1,0,62,1,0,7,32
124,strzelinski,dolnośląskie,62206,622,44006,71,331,311,20,0,0,393,81,299,13,0,0,42,0,40,2,113,292,225,67,24,3,0,12,124,0,0,0,0,3,3,0,0,0,0,0,0,9,121,0,4,42,0,2,11,6,1,0,7,2,107,0,0,1,69
1727,strzyzowski,podkarpackie,50347,503,61690,123,99,91,8,0,0,852,55,783,13,1,0,14,1,12,1,97,347,368,109,30,0,0,10,167,0,1,0,0,0,2,0,0,0,0,0,0,10,164,0,21,93,25,33,48,17,2,0,12,15,152,2,0,2,103
655,sulecinski,lubuskie,117780,1178,35351,30,312,300,10,2,0,704,55,648,1,0,0,51,1,39,11,245,373,298,77,20,1,2,10,62,0,0,0,0,0,3,0,0,0,1,0,0,10,58,0,5,127,1,2,4,0,0,0,8,4,76,1,0,10,46
1061,suski,małopolskie,68571,686,84317,123,213,201,12,0,0,784,94,683,7,0,0,37,1,31,5,112,355,368,121,39,2,0,6,149,0,1,0,0,2,12,0,0,0,0,0,0,4,136,0,15,51,3,19,11,114,0,0,8,7,174,0,0,6,73
1857,Suwalki,podlaskie,6551,66,69554,1062,223,220,2,1,0,378,122,254,2,0,0,111,4,39,68,316,202,63,13,7,0,0,4,96,0,0,0,0,0,12,0,0,0,0,0,0,4,84,0,8,10,1,0,10,7,1,0,3,5,106,1,0,4,23
1847,suwalski,podlaskie,130700,1307,35955,28,178,164,11,2,1,293,72,211,10,0,0,14,1,10,3,61,147,163,76,23,1,0,7,94,0,1,0,0,3,2,0,0,0,2,0,0,4,89,0,2,48,4,4,9,2,3,0,2,1,101,1,0,16,36
136,swidnicki (dolnoslaskie),dolnośląskie,74114,741,158392,214,941,891,47,3,0,972,262,653,56,1,0,147,6,108,33,478,798,482,105,45,5,0,17,288,0,2,0,2,1,16,0,4,0,0,0,0,16,270,0,20,98,1,0,48,39,5,0,15,14,230,0,0,31,153
561,swidnicki (lubelskie),lubelskie,46835,468,72412,155,299,266,33,0,0,360,61,296,3,0,0,26,0,20,6,104,280,184,69,22,0,0,6,120,0,2,0,0,0,9,0,0,0,0,0,0,6,109,0,10,49,0,0,1,10,0,0,6,6,127,4,0,9,26
2862,swidwinski,zachodniopomorskie,109306,1093,47643,44,325,304,18,3,0,433,70,362,1,0,0,43,0,35,8,141,286,230,78,22,1,0,11,70,0,0,0,0,1,4,0,0,0,0,0,0,10,66,2,3,69,1,0,15,8,0,0,2,2,76,3,0,5,33
661,swiebodzinski,lubuskie,93657,937,56095,60,249,230,15,3,1,680,95,584,1,0,0,42,1,33,8,174,380,292,65,15,1,2,5,104,0,1,0,1,0,2,0,0,0,0,0,0,5,101,0,6,115,4,2,20,20,1,0,11,6,142,3,0,6,55
310,swiecki,kujawsko-pomorskie,147418,1474,99505,67,512,492,18,2,0,1175,74,1087,14,0,0,61,11,42,8,287,639,496,213,49,2,1,18,311,0,3,0,1,0,12,0,0,0,2,0,0,18,294,0,31,229,49,6,136,23,1,0,26,27,352,4,0,15,137
2169,Swietochlowice,śląskie,1331,13,50385,3785,262,260,2,0,0,437,71,357,9,0,0,79,4,62,13,172,329,157,25,15,0,1,4,126,0,0,0,0,1,18,0,5,0,1,0,1,3,107,0,29,65,0,0,14,65,2,0,11,21,62,0,0,3,83
2869,Swinoujscie,zachodniopomorskie,20207,202,41032,203,226,223,2,1,0,539,234,305,0,0,0,106,0,60,46,346,257,87,28,37,1,9,9,91,0,0,0,0,0,3,0,0,0,0,0,0,9,88,0,3,41,0,2,1,7,0,0,23,1,28,1,0,5,72
2684,szamotulski,wielkopolskie,111929,1119,90920,81,346,329,14,3,0,1177,104,1054,19,0,0,61,1,32,28,288,607,448,136,38,5,1,21,181,0,0,0,0,1,3,0,0,0,1,0,1,20,177,0,11,160,6,3,70,4,0,0,13,24,207,3,0,6,126
2853,Szczecin,zachodniopomorskie,30060,301,403883,1344,1456,1431,19,5,1,1469,345,1097,27,0,0,183,7,154,22,1171,1214,422,94,21,3,0,17,227,0,5,0,5,4,29,0,0,0,6,0,3,13,187,0,20,103,1,13,22,81,2,0,11,9,212,1,0,29,98
2855,szczecinecki,zachodniopomorskie,176542,1766,78232,44,352,336,16,0,0,556,101,452,3,0,0,89,0,85,4,184,332,296,82,14,0,0,13,122,0,1,0,1,0,7,0,0,0,2,0,1,13,112,1,16,51,9,1,34,31,3,0,3,0,105,1,0,16,58
2466,szczycienski,warmińsko-mazurskie,193321,1933,70153,36,305,286,19,0,0,540,87,447,6,0,0,73,2,39,32,132,247,289,108,67,2,0,12,167,0,2,0,3,2,5,0,1,0,1,0,1,10,159,0,12,73,8,1,45,10,0,0,3,1,192,1,0,24,123
1996,sztumski,pomorskie,73074,731,41946,57,203,195,8,0,0,368,34,328,6,0,0,21,1,18,2,94,213,190,59,14,1,0,5,98,0,1,0,0,1,15,0,0,0,1,0,1,4,81,0,9,64,0,2,13,9,0,0,3,2,67,0,0,7,48
1405,szydlowiecki,mazowieckie,45181,452,39938,88,404,379,25,0,0,342,16,322,4,0,0,38,3,32,3,136,337,211,54,8,0,0,2,38,0,0,0,0,1,3,0,0,0,0,0,0,1,35,0,2,23,1,1,5,2,0,0,2,4,49,0,0,5,17
1733,Tarnobrzeg,podkarpackie,8540,85,47387,555,170,163,6,0,1,345,48,295,2,0,0,26,0,14,12,173,204,89,44,5,0,0,5,82,0,0,0,0,0,5,0,0,0,0,0,0,5,77,0,5,56,0,0,45,13,0,0,7,7,66,0,0,6,31
1735,tarnobrzeski,podkarpackie,52106,521,53388,102,369,331,36,2,0,310,20,280,10,0,0,18,2,15,1,66,264,235,84,30,0,0,1,98,0,0,0,0,0,4,0,0,0,0,0,0,1,94,0,16,35,1,0,8,5,0,0,1,3,84,3,0,3,20
2171,tarnogorski,śląskie,64419,644,139300,216,451,437,10,4,0,2072,150,1887,34,1,0,186,1,131,54,403,1202,703,171,37,4,2,9,276,0,0,0,0,2,26,0,9,0,1,0,1,7,249,0,26,282,18,2,117,39,0,0,20,30,337,0,0,16,93
1088,Tarnow,małopolskie,7238,72,109650,1515,192,188,4,0,0,576,107,462,7,0,0,70,3,35,32,212,360,141,43,12,0,0,3,133,0,0,0,0,1,6,0,2,0,1,0,1,2,126,0,15,28,1,0,6,128,6,0,2,4,151,0,0,7,53
1071,tarnowski,małopolskie,141158,1412,201268,143,433,408,24,1,0,914,101,792,21,0,0,50,5,40,5,135,442,537,181,51,1,0,15,260,0,1,0,1,1,11,0,0,0,3,0,1,14,245,0,22,184,1,1,23,194,1,0,6,6,323,4,0,13,88
1090,tatrzanski,małopolskie,47165,472,68034,144,189,176,11,2,0,925,318,602,5,0,0,169,4,74,91,179,369,390,128,43,4,1,3,121,0,1,0,0,0,7,0,0,0,0,0,0,3,113,0,8,106,100,1,143,5,1,0,12,205,177,0,0,8,79
2002,tczewski,pomorskie,69711,697,115896,166,465,443,21,1,0,1071,130,924,17,0,0,54,0,23,31,354,622,392,129,36,3,0,21,252,0,4,0,3,6,22,0,5,0,1,0,1,15,225,0,19,82,4,2,52,18,0,0,17,12,239,3,0,20,152
567,tomaszowski (lubelskie),lubelskie,148889,1489,84429,57,182,168,14,0,0,605,39,561,4,1,0,40,1,18,21,95,282,290,98,20,2,0,8,134,0,0,0,0,4,8,0,0,0,2,0,2,4,124,0,17,68,1,3,41,12,0,0,10,10,121,0,0,2,36
862,tomaszowski (lodzkie),łódzkie,102479,1025,117852,115,408,390,16,2,0,1091,96,978,17,0,0,55,1,40,14,237,704,405,112,36,4,0,28,164,0,3,0,1,1,6,0,0,0,1,0,1,27,154,0,8,90,3,1,41,16,2,0,11,9,140,1,0,18,107
322,Torun,kujawsko-pomorskie,11572,116,202562,1750,728,712,12,4,0,1143,189,947,7,0,0,325,9,180,136,744,708,268,99,50,2,0,14,210,0,1,0,1,4,9,0,0,0,2,0,1,10,198,0,26,242,0,4,28,44,8,0,18,8,223,0,2,19,79
324,torunski,kujawsko-pomorskie,123042,1230,105631,86,463,434,21,6,2,1422,135,1279,7,1,0,74,4,55,15,271,793,597,167,46,7,4,16,208,0,3,0,2,0,5,0,0,0,1,0,0,16,199,1,25,299,56,7,74,16,2,0,41,11,242,3,0,14,88
145,trzebnicki,dolnośląskie,102478,1025,84495,82,572,530,39,3,0,651,103,529,19,0,0,52,2,38,12,64,422,558,153,25,0,0,17,212,0,2,0,2,2,11,0,1,0,4,0,0,15,195,0,7,106,1,0,30,7,0,0,9,22,182,0,0,4,119
334,tucholski,kujawsko-pomorskie,107546,1075,48438,45,168,156,9,3,0,560,55,504,1,0,0,20,1,13,6,171,272,184,73,27,0,0,2,98,0,1,0,0,0,10,0,4,0,0,0,0,2,87,0,11,79,6,5,13,4,1,0,11,2,108,1,0,3,40
2704,turecki,wielkopolskie,92943,929,84267,91,211,203,8,0,0,525,48,461,14,2,0,23,3,12,8,66,268,297,81,22,2,0,11,132,0,0,0,0,0,9,0,0,0,0,0,0,11,123,0,11,81,1,2,32,5,0,0,13,4,147,0,0,9,89
2181,Tychy,śląskie,8181,82,128211,1567,298,294,4,0,0,1078,187,880,11,0,0,272,7,154,111,413,658,224,54,21,1,5,10,141,0,1,0,1,0,9,0,1,0,0,0,0,10,131,0,19,88,2,0,12,89,8,0,10,35,225,0,0,15,101
341,wabrzeski,kujawsko-pomorskie,50195,502,34612,69,101,93,6,2,0,608,30,573,5,0,0,14,3,11,0,178,307,144,72,8,0,0,4,54,0,0,0,0,0,3,0,0,0,0,0,0,4,51,0,11,89,12,0,37,8,0,0,10,1,60,0,0,4,26
1096,wadowicki,małopolskie,64588,646,159938,248,461,445,16,0,0,1144,171,949,23,1,0,127,2,68,57,270,605,527,169,31,2,1,16,269,0,0,0,0,2,7,0,1,0,3,0,2,14,259,0,40,150,3,4,29,68,1,0,14,38,374,3,0,9,174
2714,wagrowiecki,wielkopolskie,103965,1040,70212,68,237,214,18,5,0,832,63,763,6,0,0,57,3,30,24,208,458,321,62,19,1,0,5,159,0,1,0,1,1,7,0,0,0,2,0,0,4,149,0,9,90,9,7,19,8,0,0,13,9,104,2,0,11,74
152,Walbrzych,dolnośląskie,8470,85,113621,1341,715,696,18,1,0,628,134,477,17,0,0,118,5,62,51,438,575,238,74,15,3,0,18,167,0,0,0,0,1,19,0,5,0,0,0,0,17,148,0,9,76,0,0,5,41,4,0,13,3,76,1,0,5,69
154,walbrzyski,dolnośląskie,43022,430,56446,131,473,452,17,3,1,376,58,305,13,0,0,67,3,36,28,76,289,314,119,45,5,1,10,101,0,1,0,1,1,7,0,1,0,0,0,0,9,93,0,7,82,0,1,7,19,8,0,5,10,77,0,2,6,44
2871,walecki,zachodniopomorskie,141498,1415,53738,38,228,215,12,1,0,530,91,432,7,0,0,31,5,23,3,130,295,241,72,20,0,0,3,116,0,0,0,0,0,7,0,2,0,1,0,1,3,108,0,6,75,4,23,75,11,0,0,4,1,99,0,0,7,33
1411,Warszawa,mazowieckie,51724,517,1764615,3412,4484,4442,40,2,0,7953,1910,5793,244,6,0,3878,86,1030,2762,3971,5587,2206,532,124,16,1,56,1072,0,16,0,11,23,118,0,6,0,2,0,1,33,936,1,85,1021,9,11,102,291,42,0,82,71,1524,11,28,74,559
1413,warszawski zachodni,mazowieckie,53379,534,115466,216,501,482,19,0,0,914,88,814,12,0,0,226,4,131,91,362,589,366,83,15,0,0,14,187,0,0,0,0,2,9,0,0,0,1,0,1,12,177,0,16,171,8,2,22,21,1,0,4,17,291,4,1,2,154
2475,wegorzewski,warmińsko-mazurskie,69322,693,23068,33,123,117,6,0,0,341,46,292,3,0,0,16,0,13,3,100,205,107,34,16,2,0,4,40,0,0,0,0,0,1,0,0,0,0,0,0,4,39,0,0,56,0,2,6,12,3,0,2,3,33,0,0,15,29
1421,wegrowski,mazowieckie,122076,1221,66508,54,383,355,28,0,0,684,80,603,1,0,0,48,4,17,27,119,430,361,118,38,1,0,10,149,0,3,0,0,1,10,0,0,0,0,0,0,9,136,0,13,97,14,0,2,7,0,0,5,8,148,0,0,4,66
2009,wejherowski,pomorskie,128525,1285,213803,166,547,530,16,1,0,1351,227,1102,21,1,0,70,8,46,16,280,689,626,266,36,1,0,25,449,0,4,0,2,0,29,0,13,0,1,0,1,25,415,0,61,121,18,3,90,24,1,0,11,22,483,4,0,25,292
1107,wielicki,małopolskie,41078,411,125197,305,484,474,9,1,0,1146,141,994,11,0,0,149,1,92,56,318,673,480,127,31,0,0,6,173,0,0,0,0,0,5,0,0,0,0,0,0,6,168,0,16,91,1,1,52,31,3,0,13,8,351,1,0,4,72
874,wielunski,łódzkie,92648,926,77017,83,265,246,18,0,1,748,50,692,6,0,0,38,2,15,21,183,418,291,86,33,2,0,10,112,0,0,0,0,4,8,0,0,0,0,0,0,6,104,0,2,118,7,0,6,2,0,0,25,15,108,0,0,2,50
885,wieruszowski,łódzkie,57713,577,42255,73,249,226,18,5,0,412,17,387,8,0,0,27,1,24,2,76,252,228,79,23,2,1,6,79,0,0,0,0,0,10,0,0,0,0,0,0,6,69,0,6,62,2,1,3,2,0,0,9,8,118,0,1,1,27
347,Wloclawek,kujawsko-pomorskie,8432,84,111752,1325,411,410,1,0,0,558,112,444,2,0,0,89,4,44,41,402,382,134,33,18,0,0,5,101,0,0,0,0,1,4,0,1,0,0,0,0,4,97,0,7,46,0,0,58,9,0,0,3,1,93,0,0,12,63
349,wloclawski,kujawsko-pomorskie,147363,1474,86604,59,329,308,17,4,0,900,74,815,11,0,0,29,3,22,4,110,439,448,171,56,5,0,13,231,0,1,0,0,1,11,0,1,0,1,0,0,12,218,0,23,158,17,2,66,4,1,0,32,7,202,2,0,29,91
581,wlodawski,lubelskie,125642,1256,38853,31,139,129,9,1,0,276,28,243,5,0,0,56,0,32,24,60,124,153,57,21,0,0,1,83,0,0,0,0,0,3,0,0,0,0,0,0,1,80,0,9,61,0,1,7,1,0,0,5,3,83,0,0,7,28
2334,wloszczowski,świętokrzyskie,90786,908,45521,50,194,186,6,2,0,351,15,332,4,0,0,26,0,25,1,29,187,241,67,21,0,0,9,71,0,0,0,0,0,2,0,0,0,2,0,2,9,67,1,0,73,0,4,10,5,1,0,11,4,82,1,0,2,47
2183,wodzislawski,śląskie,28675,287,157767,550,437,430,6,1,0,1368,102,1241,24,1,0,157,9,97,51,250,904,512,120,17,1,1,14,261,0,1,0,0,2,10,0,0,0,1,0,0,12,249,0,30,82,0,1,34,53,2,0,22,40,262,1,0,8,137
1431,wolominski,mazowieckie,95356,954,241890,254,1239,1162,74,2,1,1375,207,1163,4,1,0,263,12,170,81,303,1090,853,291,73,4,0,32,355,0,3,0,3,3,14,0,0,0,0,0,0,29,338,2,32,148,11,4,21,15,22,0,8,11,448,7,2,18,136
163,wolowski,dolnośląskie,67496,675,47124,70,294,270,22,2,0,335,70,256,9,0,0,20,2,16,2,83,232,213,85,11,4,1,9,93,0,1,0,1,2,1,0,0,0,0,0,0,7,91,0,5,16,2,0,15,9,0,0,3,2,70,0,0,5,58
2722,wolsztynski,wielkopolskie,67973,680,57289,84,159,153,5,1,0,385,18,361,6,0,0,31,0,19,12,124,215,146,50,9,0,0,1,91,0,0,0,0,0,5,0,0,0,0,0,0,1,86,0,7,74,4,0,2,10,3,0,7,7,61,2,0,8,52
167,Wroclaw,dolnośląskie,29282,293,638586,2181,2417,2372,35,8,2,4675,1477,3068,130,0,0,1456,48,723,685,2127,3388,1326,214,33,2,2,162,933,0,6,0,4,9,79,0,2,0,2,0,2,153,846,0,52,300,1,32,25,206,29,0,70,76,904,6,0,80,402
169,wroclawski,dolnośląskie,111770,1118,141337,126,855,812,38,4,1,1828,271,1496,61,0,0,219,4,167,48,267,1080,1028,257,48,1,2,29,477,0,2,0,1,2,20,0,3,0,2,0,2,27,453,0,39,178,1,4,34,31,8,0,18,12,517,1,0,16,234
2726,wrzesinski,wielkopolskie,70357,704,77361,110,222,211,10,1,0,445,31,408,6,0,0,60,1,30,29,124,246,226,60,10,0,1,12,121,0,1,0,1,0,6,0,0,0,0,0,0,12,114,0,12,36,5,3,6,6,0,0,6,12,146,0,0,11,71
668,wschowski,lubuskie,62420,624,39196,63,165,154,10,1,0,540,79,459,2,0,0,34,1,27,6,63,234,248,117,39,4,0,8,55,0,0,0,0,2,1,0,0,0,0,0,0,6,54,1,1,75,4,1,16,10,0,0,5,0,70,0,0,9,50
1859,wysokomazowiecki,podlaskie,128891,1289,57516,45,196,182,13,1,0,502,31,465,6,0,0,7,1,5,1,84,234,240,105,33,1,1,8,148,0,0,0,0,0,6,0,0,0,2,0,1,8,140,1,23,152,8,0,7,3,0,0,34,1,133,3,0,6,64
1444,wyszkowski,mazowieckie,87643,876,74020,84,427,403,23,1,0,582,27,546,9,0,0,115,1,96,18,157,337,348,141,26,0,0,15,200,0,0,0,0,1,6,0,0,0,0,0,0,14,194,0,17,85,9,6,12,7,2,0,37,15,271,2,0,10,71
179,zabkowicki,dolnośląskie,80153,802,66009,82,482,461,16,5,0,706,162,517,27,0,0,113,6,92,15,202,431,392,139,23,1,0,15,208,0,1,0,1,0,9,0,0,0,4,0,2,15,194,0,13,71,2,1,45,19,2,0,9,3,147,1,1,5,111
2193,Zabrze,śląskie,8040,80,174349,2169,860,857,3,0,0,1306,172,1102,32,0,0,284,6,178,100,659,1048,368,82,9,0,0,13,241,0,2,0,2,4,27,0,2,0,1,0,1,9,211,0,23,158,1,0,12,126,1,0,8,31,268,4,0,3,84
685,zaganski,lubuskie,113182,1132,80114,71,625,598,22,5,0,757,139,616,1,1,0,98,0,81,17,250,534,418,140,34,4,2,12,142,0,1,0,1,1,8,0,3,0,0,0,0,11,133,1,15,79,3,0,8,28,12,0,8,2,148,0,1,7,78
1870,zambrowski,podlaskie,73312,733,44027,60,165,153,11,1,0,405,50,353,2,0,0,21,0,13,8,147,161,149,85,27,1,0,8,95,0,0,0,0,1,7,0,0,0,0,0,0,7,88,0,4,75,4,3,52,5,0,0,13,5,101,0,0,5,19
590,zamojski,lubelskie,187029,1870,107565,58,324,299,25,0,0,664,78,581,5,0,0,16,1,11,4,30,326,449,157,23,2,1,12,186,0,2,0,1,0,7,0,0,0,1,0,0,12,176,0,21,123,1,1,20,22,0,0,18,13,157,3,0,16,61
606,Zamosc,lubelskie,3034,30,64354,2121,111,109,2,0,0,336,47,288,1,0,0,44,0,11,33,122,218,84,23,0,0,0,1,112,0,1,0,1,0,12,0,2,0,2,0,0,1,97,0,6,57,1,0,3,10,0,0,9,4,87,0,0,1,33
695,zarski,lubuskie,139278,1393,97487,70,792,753,34,5,0,701,107,591,3,0,0,89,1,68,20,283,516,441,196,54,3,0,12,140,0,0,0,0,1,11,0,0,0,1,0,0,11,128,0,16,149,4,1,5,19,0,0,1,3,132,1,0,5,36
2195,zawiercianski,śląskie,100223,1003,119101,119,639,608,28,3,0,961,127,813,21,0,0,180,21,100,59,286,585,500,174,49,6,0,23,236,0,1,0,1,7,19,0,1,0,1,0,0,16,215,0,11,118,1,0,10,31,3,0,10,23,223,1,0,11,82
893,zdunskowolski,łódzkie,36923,369,67049,182,143,133,8,1,1,714,64,646,4,0,0,35,1,30,4,207,388,200,46,16,0,0,8,132,0,0,0,0,0,5,0,0,0,0,0,0,8,127,0,14,50,6,1,18,23,0,0,18,6,109,2,0,1,63
898,zgierski,łódzkie,85518,855,165606,194,646,620,19,5,2,1922,203,1692,26,1,0,134,5,97,32,467,1088,774,188,47,3,1,38,580,0,6,0,4,6,38,0,2,0,4,0,3,32,532,0,37,199,3,7,74,23,1,0,15,14,358,5,0,7,200
187,zgorzelecki,dolnośląskie,83860,839,90584,108,1426,1362,61,3,0,903,192,697,14,0,0,133,3,115,15,428,961,643,244,47,5,1,18,249,0,0,0,0,1,19,0,2,0,2,0,2,17,228,0,8,143,4,1,7,35,7,0,17,12,196,2,0,21,146
672,Zielona Gora,lubuskie,27832,277,139819,502,440,427,11,1,1,849,218,626,5,0,0,143,5,100,38,490,492,229,52,23,3,0,5,100,0,0,0,0,2,9,0,1,0,0,0,0,3,91,0,4,89,1,0,3,27,3,0,19,13,183,0,0,4,89
674,zielonogorski,lubuskie,134975,1350,75558,56,618,588,27,3,0,581,85,493,3,0,0,58,2,52,4,120,441,454,140,43,1,0,7,153,0,0,0,0,0,9,0,0,0,1,0,1,7,143,0,9,96,4,0,2,7,2,0,8,5,164,0,0,13,96
195,zlotoryjski,dolnośląskie,57581,576,44126,77,287,274,11,1,1,390,73,295,21,1,0,43,2,37,4,97,262,227,78,11,2,0,8,98,0,0,0,0,0,8,0,0,0,0,0,0,8,90,0,6,101,0,2,10,16,0,0,8,1,82,0,0,4,35
2732,zlotowski,wielkopolskie,166017,1660,69780,42,252,233,17,1,1,854,29,801,24,0,0,23,0,20,3,128,417,405,126,23,6,1,22,153,0,3,0,2,0,4,0,0,0,4,0,1,22,142,0,15,126,15,12,101,7,0,0,6,19,117,1,0,2,80
363,zninski,kujawsko-pomorskie,98477,985,70534,72,227,210,15,1,1,801,118,679,4,0,0,60,4,39,17,156,332,334,147,56,2,1,5,138,0,0,0,0,1,6,0,0,0,0,0,0,4,132,0,12,194,1,3,24,3,0,0,24,9,183,0,0,6,51
2206,Zory,śląskie,6464,65,62243,963,161,158,2,0,1,488,61,420,6,1,0,133,1,74,58,129,304,161,32,15,2,6,2,109,0,1,0,1,0,5,0,1,0,2,0,1,2,101,0,20,36,1,0,19,45,2,0,4,22,111,0,0,4,48
1457,zurominski,mazowieckie,80660,807,39263,49,138,127,6,3,2,367,31,334,2,0,0,20,0,18,2,62,167,189,65,18,3,1,3,56,0,0,0,0,0,4,0,0,0,2,0,0,3,50,0,7,48,1,1,33,3,0,0,6,9,55,0,0,4,27
1451,zwolenski,mazowieckie,57330,573,36606,64,80,73,7,0,0,377,16,357,4,0,0,21,1,14,6,52,168,163,57,14,2,1,7,99,0,0,0,0,1,3,0,0,0,0,0,0,6,96,0,10,39,2,0,26,3,1,0,2,5,100,0,0,1,57
1464,zyrardowski,mazowieckie,53254,533,76056,143,480,460,18,2,0,678,100,573,5,0,0,110,1,76,33,233,472,327,101,25,0,0,13,158,0,0,0,0,1,7,0,2,0,1,0,0,12,150,0,15,51,2,0,10,10,0,0,4,7,203,2,0,5,80
2208,zywiecki,śląskie,104006,1040,153187,147,462,435,26,0,1,985,107,846,32,0,0,101,3,88,10,251,566,434,128,59,1,8,10,298,0,7,0,5,3,14,0,0,0,1,0,1,7,276,0,33,230,23,14,51,16,7,0,27,12,288,2,1,40,104
